Dr. Sabine Sütterlin-Waack,0,1,0,0,0
Dr. Sahra Wagenknecht,0,1,1,1,0
Dr. Sandra Detzer,0,0,0,1,0
Dr. Sascha Raabe,1,1,1,0,0
Dr. Saskia Ludwig,0,0,1,0,0
Dr. Sebastian Schäfer,0,0,0,1,0
Dr. Silke Launert,0,1,1,1,0
Dr. Simone Raatz,0,1,0,0,0
Dr. Stefan Heck,0,1,0,1,0
Dr. Stefan Kaufmann,1,1,1,1,0
Dr. Stefan Nacke,0,0,0,1,0
Dr. Stefan Ruppert,1,0,1,0,0
Dr. Stephan Harbarth,1,1,1,0,0
Dr. Stephan Pilsinger,0,0,0,1,0
Dr. Stephan Seiter,0,0,0,1,0
Dr. Tanja Machalet,0,0,0,1,0
Dr. Thomas  Feist,1,0,0,0,0
Dr. Thomas Feist,1,1,0,0,0
Dr. Thomas Gambke,1,1,0,0,0
Dr. Thomas Gebhart,1,1,1,1,0
Dr. Thomas de Maizière,1,1,1,0,0
Dr. Thorsten Lieb,0,0,0,1,0
Dr. Thorsten Rudolph,0,0,0,1,0
Dr. Till Steffen,0,0,0,1,0
Dr. Tim Ostermann,0,1,1,0,0
Dr. Tobias Lindner,1,1,1,1,0
Dr. Ursula von der Leyen,1,1,1,0,0
Dr. Ute Finckh-Krämer,0,1,0,0,0
Dr. Valerie Wilms,1,1,0,0,0
Dr. Volker Redder,0,0,0,1,0
Dr. Volker Ullrich,0,1,1,1,0
Dr. Volker Wissing,1,0,0,1,0
Dr. Wiebke Esdar,0,0,1,1,0
Dr. Wieland Schinnenburg,0,0,1,0,0
Dr. Wilhelm Priesmeier,1,1,0,0,0
Dr. Wolfgang Gerhardt,1,0,0,0,0
Dr. Wolfgang Götzer,1,0,0,0,0
Dr. Wolfgang Schäuble,1,1,1,1,0
Dr. Wolfgang Stefinger,0,1,1,1,0
Dr. Wolfgang Strengmann-Kuhn,1,1,1,1,0
Dr. Yannick Bury,0,0,0,1,0
Dr. Zanda Martens,0,0,0,1,0
Dr. Zoe Mayer,0,0,0,1,0
Dr. h. c. (NUACA) Albert H. Weiler,0,0,1,0,0
Dr. h. c. (Univ Kyiv) Hans Michelbach,0,0,1,0,0
Dr. h. c. Albert Weiler,0,0,1,0,0
Dr. h. c. Gernot Erler,1,0,0,0,0
Dr. h. c. Hans Michelbach,1,0,1,0,0
Dr. h. c. Jürgen Koppelin,1,0,0,0,0
Dr. h. c. Susanne Kastner,1,0,0,0,0
Dr. h. c. Thomas Sattelberger,0,0,1,1,0
Dr. h. c. Wolfgang Thierse,1,0,0,0,0
Dr. h.c. Albert Weiler,0,1,1,0,0
Dr. h.c. Edelgard Bulmahn,0,1,0,0,0
Dr. h.c. Gernot Erler,1,1,0,0,0
Dr. h.c. Hans Michelbach,1,1,1,0,0
Dr. h.c. Jürgen Koppelin,1,0,0,0,0
Dr. h.c. Susanne Kastner,1,0,0,0,0
Dr. h.c. Thomas Sattelberger,0,0,1,0,0
Dr. h.c. Wolfgang Thierse,1,0,0,0,0
Dunja Kreiser,0,0,0,1,0
Eberhard Gienger,1,1,1,0,0
Eckart von Klaeden,1,0,0,0,0
Eckhard Gnodtke,0,0,1,0,0
Eckhard Pols,1,1,1,0,0
Eckhardt Rehberg,1,1,1,0,0
Edelgard Bulmahn,1,1,0,0,0
Edgar Naujok,0,0,0,1,0
Eduard Oswald,1,0,0,0,0
Ekin Deligöz,1,1,1,1,0
Elfi Scho-Antwerpes,0,1,0,0,0
Elisabeth Kaiser,0,0,1,1,0
Elisabeth Motschmann,0,1,1,0,0
Elisabeth Scharfenberg,1,1,0,0,0
Elisabeth Winkelmeier-Becker,1,1,1,1,0
Elke Ferner,1,1,0,0,0
Elke Hoff,1,0,0,0,0
Elvan Korkmaz,0,0,1,0,0
Elvan Korkmaz-Emre,0,0,1,0,0
Elvira Drobinski-Weiß,1,1,0,0,0
Emilia Fester,0,0,0,1,0
Emily Vontz,0,0,0,1,0
Emmi Zeulner,0,1,1,1,0
Enak Ferlemann,1,1,1,1,0
Enrico Komning,0,0,1,1,0
Erhard Grundl,0,0,1,1,0
Erich G. Fritz,1,0,0,0,0
Erich Irlstorfer,0,1,1,1,0
Erik von Malottki,0,0,0,1,0
Erika Steinbach,1,1,0,0,0
Ernst Burgbacher,1,0,0,0,0
Ernst Hinsken,1,0,0,0,0
Ernst-Reinhard Beck (Reutlingen),1,0,0,0,0
Erwin Rüddel,1,1,1,1,0
Esra Limbacher,0,0,0,1,0
Esther Dilcher,0,0,1,1,0
Eugen Schmidt,0,0,0,1,0
Eva Bulling-Schröter,1,1,0,0,0
Eva-Maria Elisabeth Schreiber,0,0,1,0,0
Eva-Maria Schreiber,0,0,1,0,0
Ewa Klamt,1,0,0,0,0
Ewald Schurer,1,1,0,0,0
Fabian Funke,0,0,0,1,0
Fabian Gramling,0,0,0,1,0
Fabian Griewel,0,0,0,1,0
Fabian Jacobi,0,0,1,1,0
Fabio De Masi,0,0,1,0,0
Falko Droßmann,0,0,0,1,0
Falko Mohrs,0,0,1,1,0
